4nic6, standard removes, 1, 4, 2279880.3474582527, 28.399031576, 0, 189, 34, 232, 152, 305, 201, 314, 244, 491
5nic6, standard removes, 1, 5, 2344330.459374591, 30.601944689, 0, 165, 5, 245, 162, 301, 206, 328, 258, 495
6nic6, standard removes, 1, 6, 2345288.8974849083, 51.204760948, 12, 155, 0, 163, 175, 318, 133, 328, 267, 502
7nic6, standard removes, 1, 7, 2330780.695353491, 46.951053609, 0, 152, 43, 241, 161, 292, 193, 321, 254, 494
8nic6, standard removes, 1, 8, 2314873.8925083913, 102.244532364, 0, 194, 66, 228, 161, 310, 190, 322, 256, 495
9nic6, standard removes, 1, 9, 2338720.3336430998, 244.489592556, 0, 97, 18, 223, 160, 306, 187, 324, 254, 491
2nic7, standard removes, 1, 2, 2319880.513593904, 11.141010677, 0, 132, 60, 230, 159, 285, 181, 320, 250, 477
3nic7, standard removes, 1, 3, 2322608.416988413, 13.510289274, 0, 198, 33, 301, 151, 312, 220, 313, 250, 499
4nic7, standard removes, 1, 4, 2336447.8417494255, 25.536962822, 0, 85, 25, 228, 153, 298, 169, 319, 246, 479
5nic7, standard removes, 1, 5, 2345128.6255429126, 34.852668201, 0, 159, 8, 208, 160, 303, 170, 307, 253, 491
6nic7, standard removes, 1, 6, 2312751.4325354937, 52.629315123, 0, 181, 69, 231, 157, 320, 198, 312, 254, 503
7nic7, standard removes, 1, 7, 2341129.53804783, 99.409917043, 0, 155, 81, 294, 153, 304, 205, 316, 246, 503
8nic7, standard removes, 1, 8, 2295789.083178626, 148.772210882, 0, 174, 42, 223, 154, 298, 177, 310, 245, 479
9nic7, standard removes, 1, 9, 2398288.055636504, 196.633148389, 0, 175, 0, 238, 161, 309, 191, 310, 265, 493
2nic8, standard removes, 1, 2, 2312950.063249195, 19.561701864, 0, 182, 47, 220, 158, 298, 189, 316, 251, 495
3nic8, standard removes, 1, 3, 2318115.763152111, 20.207675619, 0, 178, 62, 233, 157, 304, 189, 301, 250, 485
4nic8, standard removes, 1, 4, 2310506.6873329366, 35.990954905, 0, 181, 79, 239, 162, 293, 201, 320, 253, 475
5nic8, standard removes, 1, 5, 2325132.3377772, 55.974019098, 0, 183, 5, 241, 159, 307, 192, 308, 251, 492
6nic8, standard removes, 1, 6, 2358010.0479272176, 26.603042965, 0, 221, 135, 318, 161, 332, 270, 331, 252, 517
7nic8, standard removes, 1, 7, 2406763.7317415588, 37.779930208, 0, 214, 48, 312, 153, 335, 204, 337, 252, 522
8nic8, standard removes, 1, 8, 2345367.1261221943, 121.115759213, 0, 19, 61, 232, 156, 316, 202, 315, 251, 497
9nic8, standard removes, 1, 9, 2380864.1935007274, 196.712864919, 0, 133, 29, 252, 166, 309, 190, 315, 264, 493
2nic9, standard removes, 1, 2, 2316184.1817529546, 11.647078296, 4, 186, 0, 152, 159, 313, 122, 310, 251, 501
3nic9, standard removes, 1, 3, 2325852.29912109, 34.199241079, 0, 215, 15, 221, 151, 322, 174, 321, 244, 504
